"filename", "language", "JSON with Comments", "TypeScript JSX", "PostCSS", "TypeScript", "JSON", "YAML", "JavaScript", "Markdown", "XML", "comment", "blank", "total"
"d:\dry-fruits-app\WEB APP\SETUP_INSTRUCTIONS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 36, 167
"d:\dry-fruits-app\WEB APP\app\about\page.tsx", "TypeScript JSX", 0, 175, 0, 0, 0, 0, 0, 0, 0, 5, 13, 193
"d:\dry-fruits-app\WEB APP\app\account\orders\page.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 2, 9, 93
"d:\dry-fruits-app\WEB APP\app\account\page.tsx", "TypeScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 0, 4, 15, 153
"d:\dry-fruits-app\WEB APP\app\admin\orders\loading.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\dry-fruits-app\WEB APP\app\admin\orders\page.tsx", "TypeScript JSX", 0, 352, 0, 0, 0, 0, 0, 0, 0, 1, 21, 374
"d:\dry-fruits-app\WEB APP\app\admin\page.tsx", "TypeScript JSX", 0, 235, 0, 0, 0, 0, 0, 0, 0, 6, 18, 259
"d:\dry-fruits-app\WEB APP\app\admin\products\loading.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\dry-fruits-app\WEB APP\app\admin\products\page.tsx", "TypeScript JSX", 0, 323, 0, 0, 0, 0, 0, 0, 0, 2, 24, 349
"d:\dry-fruits-app\WEB APP\app\admin\shipments\loading.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\dry-fruits-app\WEB APP\app\admin\shipments\page.tsx", "TypeScript JSX", 0, 176, 0, 0, 0, 0, 0, 0, 0, 1, 16, 193
"d:\dry-fruits-app\WEB APP\app\api\paytm\callback\route.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 5, 22
"d:\dry-fruits-app\WEB APP\app\api\paytm\initiate\route.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 5, 36
"d:\dry-fruits-app\WEB APP\app\cart\page.tsx", "TypeScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 0, 7, 18, 161
"d:\dry-fruits-app\WEB APP\app\checkout\page.tsx", "TypeScript JSX", 0, 449, 0, 0, 0, 0, 0, 0, 0, 12, 48, 509
"d:\dry-fruits-app\WEB APP\app\contact\page.tsx", "TypeScript JSX", 0, 168, 0, 0, 0, 0, 0, 0, 0, 2, 18, 188
"d:\dry-fruits-app\WEB APP\app\faq\page.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 8, 80
"d:\dry-fruits-app\WEB APP\app\forgot-password\page.tsx", "TypeScript JSX", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 11, 115
"d:\dry-fruits-app\WEB APP\app\globals.css", "PostCSS", 0, 0, 292, 0, 0, 0, 0, 0, 0, 4, 35, 331
"d:\dry-fruits-app\WEB APP\app\layout.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\dry-fruits-app\WEB APP\app\login\page.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 13, 124
"d:\dry-fruits-app\WEB APP\app\page.tsx", "TypeScript JSX", 0, 240, 0, 0, 0, 0, 0, 0, 0, 7, 24, 271
"d:\dry-fruits-app\WEB APP\app\privacy-policy\page.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"d:\dry-fruits-app\WEB APP\app\products\[id]\page.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 0, 0, 0, 0, 11, 19, 196
"d:\dry-fruits-app\WEB APP\app\products\page.tsx", "TypeScript JSX", 0, 299, 0, 0, 0, 0, 0, 0, 0, 13, 28, 340
"d:\dry-fruits-app\WEB APP\app\return-policy\page.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\dry-fruits-app\WEB APP\app\shipping-policy\page.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"d:\dry-fruits-app\WEB APP\app\signup\page.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 17, 161
"d:\dry-fruits-app\WEB APP\app\terms-of-service\page.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"d:\dry-fruits-app\WEB APP\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"d:\dry-fruits-app\WEB APP\components\animated-button.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"d:\dry-fruits-app\WEB APP\components\auth-modal.tsx", "TypeScript JSX", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 23, 244
"d:\dry-fruits-app\WEB APP\components\counter-animation.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"d:\dry-fruits-app\WEB APP\components\floating-cart-badge.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 6, 44
